EstC;Ndep;Renda;TipoR;Vbem;Nparc;Vparc;Nveic;CC;Tel; Idade ;TmpTrab;Entrada;Classe
3;0;1359;0;601;6;125;0;0;0;63;48;0;1
1;0;1038;0;439;12;54;0;0;0;63;48;0;1
0;0;1190;0;449;6;77;0;0;0;63;48;77;1
0;0;1457;0;529;3;145;0;0;0;63;48;145;1
1;0;1536;0;552;4;119;0;0;0;63;48;119;1
0;0;1524;0;539;6;110;0;0;0;63;48;0;1
0;0;1800;0;308;2;165;0;0;0;63;48;0;1
1;0;6000;0;552;4;119;0;0;0;63;48;119;1
0;0;1386;0;519;11;60;0;0;0;61;24;60;1
0;0;400;0;440;12;60;0;0;0;60;12;0;1
0;0;480;0;740;10;113;0;0;0;59;0;0;1
1;0;300;0;403;12;58;0;0;1;59;0;0;1
0;0;1550;0;1770;5;295;0;0;0;59;0;295;1
0;0;1000;0;778;2;261;0;0;0;59;0;261;1
0;0;750;0;532;2;179;0;0;0;59;0;179;1
0;0;532;0;341;6;58;0;0;0;59;0;0;1
1;0;1233;0;555;3;139;0;0;0;59;0;139;1
0;0;1300;0;524;4;93;0;0;0;59;0;159;1
1;0;1350;0;442;2;241;0;0;1;59;0;0;1
0;0;5800;0;438;2;147;0;0;0;59;0;149;1
1;0;300;0;475;12;64;0;0;0;59;6;0;1
1;0;360;0;492;12;67;0;0;1;66;96;0;1
3;0;1021;0;1386;4;279;0;0;0;62;48;279;1
0;0;483;0;552;4;119;0;0;0;62;48;119;1
1;0;896;0;1003;6;208;0;0;0;62;48;0;1
1;0;500;0;552;4;119;0;0;0;62;48;119;1
1;0;500;0;552;4;119;0;0;0;62;48;119;1
0;0;390;0;428;8;73;0;0;0;62;48;0;1
1;0;425;0;426;4;108;0;0;0;62;48;0;1
1;0;1166;0;1120;4;329;0;0;0;62;48;0;1
1;0;470;0;393;6;66;0;0;0;62;48;0;1
1;0;825;0;639;5;126;0;0;0;62;48;126;1
1;0;500;0;362;3;135;0;0;0;62;48;0;1
1;0;1001;0;699;3;193;0;0;0;62;48;193;1
0;0;800;0;552;4;119;0;0;0;62;48;119;1
3;0;959;0;660;6;145;0;0;0;62;48;0;1
1;0;500;0;341;6;58;0;0;0;62;48;0;1
0;0;610;0;365;5;61;0;0;0;62;48;61;1
1;0;1000;0;402;3;135;0;0;0;62;48;0;1
0;0;1442;0;552;4;119;0;0;0;62;48;119;1
2;0;2137;0;624;9;94;0;0;0;62;48;0;1
2;0;3500;0;966;4;195;0;0;0;62;48;195;1
1;0;1324;0;349;3;130;0;0;0;62;48;0;1
1;0;2355;0;590;6;124;0;0;0;62;48;0;1
1;0;3000;0;705;2;235;0;0;0;62;48;240;1
0;0;2486;0;549;3;208;0;0;0;62;48;0;1
1;0;3000;0;382;1;194;0;0;0;62;48;194;1
0;0;332;0;697;8;88;0;0;0;58;0;0;1
0;0;500;0;451;12;61;0;0;0;58;0;0;1
0;0;995;0;880;6;160;0;0;0;58;0;160;1
0;0;1500;0;1099;2;334;0;0;0;58;0;438;1
0;0;1028;0;690;6;161;0;0;1;58;0;0;1
0;0;600;0;335;2;114;0;0;0;58;0;114;1
0;0;720;0;360;6;61;0;0;0;58;0;0;1
0;0;895;0;443;12;60;0;0;0;58;0;0;1
0;0;1323;0;420;10;64;0;0;0;58;0;0;1
1;0;700;0;359;10;55;0;0;0;58;6;0;1
0;0;1190;0;452;10;63;0;0;0;58;6;0;1
0;0;600;0;524;10;80;0;0;0;67;120;0;1
0;0;1317;0;951;6;212;0;0;0;62;60;0;1
2;0;385;0;659;12;72;0;0;0;61;48;72;1
1;0;500;0;552;4;119;0;0;0;61;48;119;1
1;0;500;0;552;4;119;0;0;0;61;48;119;1
1;0;500;0;552;4;119;0;0;0;61;48;119;1
1;0;500;0;552;4;119;0;0;0;61;48;119;1
1;0;1015;0;942;6;158;0;0;0;61;48;0;1
1;0;514;0;435;6;90;0;0;0;61;48;0;1
1;0;579;0;459;12;57;0;0;0;61;48;0;1
1;0;747;0;552;4;119;0;0;0;61;48;119;1
0;0;898;0;552;4;119;0;0;0;61;48;119;1
1;0;600;0;359;2;122;0;0;0;61;48;122;1
1;0;1079;0;643;6;108;0;0;0;61;48;0;1
0;0;654;0;354;3;136;0;0;0;61;48;0;1
2;0;1202;0;552;4;119;0;0;0;61;48;119;1
0;0;725;0;330;5;81;0;0;0;61;48;0;1
3;0;1390;0;552;4;119;0;0;0;61;48;119;1
1;0;1500;0;552;4;119;0;0;0;61;48;119;1
1;0;1500;0;552;4;119;0;0;0;61;48;119;1
0;0;3155;0;1129;3;423;0;0;0;61;48;0;1
0;0;1900;0;549;4;116;0;0;0;61;48;150;1
0;0;1922;0;552;4;119;0;0;0;61;48;119;1
0;0;1583;0;379;6;80;0;0;0;61;48;0;1
2;0;3000;0;552;4;119;0;0;0;61;48;119;1
1;0;4253;0;552;4;119;0;0;0;61;48;119;1
1;0;5000;0;529;3;197;0;0;0;61;48;0;1
1;0;831;0;620;20;71;0;0;1;60;36;0;1
0;0;436;0;519;11;60;0;0;0;57;0;60;1
0;0;952;0;1086;12;154;0;0;0;57;0;0;1
0;0;707;0;690;10;61;0;0;0;57;0;300;1
0;0;530;0;414;3;113;0;0;0;57;0;113;1
0;0;1170;0;874;2;293;0;0;0;57;0;293;1
0;0;800;0;580;10;83;0;0;0;57;0;0;1
0;0;1000;0;687;12;93;0;0;0;57;0;0;1
0;0;1235;0;763;4;154;0;0;0;57;0;154;1
1;0;1000;0;607;3;165;0;0;1;57;0;165;1
0;0;1000;0;555;12;79;0;0;0;57;0;0;1
0;0;800;0;399;3;149;0;0;1;57;0;0;1
0;0;1750;0;776;3;103;0;0;0;57;0;500;1
0;0;1039;0;441;2;240;0;0;0;57;0;0;1
0;0;1800;0;543;6;111;0;0;0;57;0;0;1
0;0;1598;0;349;4;71;0;0;0;57;0;71;1
0;0;2000;0;368;10;58;0;0;0;57;0;0;1
0;1;530;0;360;10;55;0;0;0;57;6;0;1
1;0;319;0;559;6;77;0;0;0;60;48;100;1
1;0;500;0;689;6;145;0;0;0;60;48;0;1
1;0;500;0;552;4;119;0;0;0;60;48;119;1
1;0;512;0;552;4;119;0;0;0;60;48;119;1
1;0;430;0;449;9;68;0;0;0;60;48;0;1
0;0;754;0;698;11;97;0;0;0;60;48;0;1
0;0;597;0;552;4;119;0;0;0;60;48;119;1
1;0;500;0;389;6;82;0;0;0;60;48;0;1
0;0;2000;0;1500;4;301;0;0;0;60;48;301;1
0;0;727;0;529;6;111;0;0;0;60;48;0;1
0;0;1266;0;882;4;221;0;0;0;60;48;0;1
3;0;635;0;399;6;83;0;0;0;60;48;0;1
3;0;1048;0;552;4;119;0;0;0;60;48;119;1
0;0;579;0;301;6;67;0;0;0;60;48;0;1
1;0;1076;0;336;5;68;0;0;0;60;48;0;1
0;0;1903;0;556;3;214;0;0;0;60;48;0;1
1;0;1600;0;419;2;141;0;0;0;60;48;142;1
1;0;1740;0;400;2;168;0;0;0;60;48;100;1
3;0;1559;0;310;2;104;0;0;0;60;48;107;1
1;0;3760;0;731;2;246;0;0;0;60;48;246;1
3;0;2493;0;437;6;96;0;0;0;60;48;0;1
1;0;5200;0;314;2;170;0;0;0;60;48;0;1
1;0;1200;0;555;4;166;0;0;1;57;12;0;1
0;0;460;0;568;9;61;0;0;0;56;0;200;1
0;0;700;0;818;10;125;0;0;0;56;0;0;1
0;0;438;0;473;12;64;0;0;0;56;0;0;1
0;0;500;0;519;11;60;0;0;0;56;0;60;1
0;0;2000;0;1662;4;334;0;0;0;56;0;334;1
0;0;600;0;466;10;63;0;0;1;56;0;50;1
0;0;1404;0;877;2;294;0;0;0;56;0;294;1
0;0;1100;0;567;5;95;0;0;0;56;0;95;1
3;0;865;0;426;12;58;0;0;1;56;0;0;1
0;0;1552;0;694;4;158;0;0;0;56;0;158;1
0;0;929;0;400;12;55;0;0;1;56;0;0;1
0;0;1012;0;432;5;72;0;0;0;56;0;72;1
0;0;882;0;370;4;75;0;0;0;56;0;75;1
0;0;2119;0;606;4;120;0;0;0;56;0;131;1
0;0;3650;0;624;2;210;0;0;0;56;0;210;1
1;0;983;0;605;6;129;0;0;0;56;6;0;1
0;0;600;0;305;6;65;0;0;0;56;6;0;1
1;0;1500;0;470;12;50;0;0;1;70;180;100;1
0;0;971;0;300;6;56;0;0;1;65;120;50;1
1;0;500;0;552;4;119;0;0;0;59;48;119;1
1;0;555;0;552;4;119;0;0;0;59;48;119;1
0;0;2091;0;1701;4;341;0;0;0;59;48;342;1
0;0;688;0;552;4;119;0;0;0;59;48;119;1
0;0;715;0;552;4;119;0;0;0;59;48;119;1
1;0;478;0;326;4;83;0;0;0;59;48;0;1
1;0;1054;0;705;4;142;0;0;0;59;48;142;1
1;0;540;0;355;4;90;0;0;0;59;48;0;1
1;0;821;0;508;11;71;0;0;0;59;48;0;1
0;0;1016;0;541;5;99;0;0;0;59;48;99;1
0;0;1500;0;688;6;148;0;0;0;59;48;0;1
1;0;1200;0;417;6;70;0;0;0;59;48;0;1
1;0;2170;0;659;6;113;0;0;0;59;48;113;1
1;0;1000;0;304;2;163;0;0;0;59;48;0;1
1;0;1830;0;552;4;119;0;0;0;59;48;119;1
0;0;1978;0;485;6;102;0;0;0;59;48;0;1
1;0;2251;0;552;4;119;0;0;0;59;48;119;1
0;0;3703;0;680;3;264;0;0;0;59;48;0;1
0;0;3000;0;389;3;145;0;0;0;59;48;0;1
0;0;4000;0;444;4;96;0;0;0;59;48;96;1
0;0;6373;0;548;3;149;0;0;0;59;48;149;1
3;0;348;0;559;12;76;0;0;1;55;0;0;1
1;0;717;0;1056;8;187;0;0;1;55;0;0;1
0;0;600;0;487;5;119;0;0;0;55;0;0;1
0;0;3000;0;2129;2;711;0;0;0;55;0;712;1
3;0;741;0;491;3;134;0;0;0;55;0;134;1
2;0;760;0;498;4;151;0;0;0;55;0;0;1
0;0;899;0;580;12;71;0;0;0;55;0;60;1
0;0;700;0;400;6;89;0;0;0;55;0;0;1
0;0;799;0;400;6;71;0;0;0;55;0;80;1
0;0;1050;0;518;11;60;0;0;0;55;0;60;1
0;0;616;0;302;6;67;0;0;0;55;0;0;1
0;0;1479;0;599;7;98;0;0;0;55;0;98;1
0;0;903;0;348;2;118;0;0;0;55;0;118;1
0;0;5000;0;1487;2;497;0;0;0;55;0;498;1
0;0;4000;0;994;2;333;0;0;0;55;0;333;1
0;0;6000;0;849;2;305;0;0;0;55;0;305;1
0;0;400;0;391;10;60;0;0;0;55;6;0;1
3;0;500;0;717;15;76;0;0;1;70;192;100;1
3;0;1227;0;900;12;122;0;0;0;69;180;0;1
