"atividadeescolar";"atividadelazer";"atividadeoutra";"atividadegrupo";"atividadesconcluidas";"dificuldadeutilizacao";"tiposoftware";"localutilizacao";"tipoatividade";"disciplina"
f;t;f;t;"T";"M";"Editor de Texto";"Casa";"Outros";"Artes"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Casa";"Outros";"Artes"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Casa";"Outros";"Artes"
f;t;f;t;"T";"M";"Editor de Texto";"Passeio escolar";"Outros";"Artes"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Passeio escolar";"Outros";"Artes"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Passeio escolar";"Outros";"Artes"
f;t;f;t;"T";"M";"Editor de Texto";"Laboratório";"Outros";"Artes"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Laboratório";"Outros";"Artes"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Laboratório";"Outros";"Artes"
f;t;f;t;"T";"M";"Editor de Texto";"Pátio da escola";"Outros";"Inglês"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Pátio da escola";"Outros";"Inglês"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Pátio da escola";"Outros";"Inglês"
f;t;f;t;"T";"M";"Editor de Texto";"Casa";"Outros";"Inglês"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Casa";"Outros";"Inglês"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Casa";"Outros";"Inglês"
f;t;f;t;"T";"M";"Editor de Texto";"Passeio escolar";"Outros";"Inglês"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Passeio escolar";"Outros";"Inglês"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Passeio escolar";"Outros";"Inglês"
f;t;f;t;"T";"M";"Editor de Texto";"Laboratório";"Outros";"Inglês"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Laboratório";"Outros";"Inglês"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Laboratório";"Outros";"Inglês"
f;t;f;t;"T";"M";"Editor de Texto";"Pátio da escola";"Outros";"Geografia"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Pátio da escola";"Outros";"Geografia"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Pátio da escola";"Outros";"Geografia"
f;t;f;t;"T";"M";"Editor de Texto";"Casa";"Outros";"Geografia"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Casa";"Outros";"Geografia"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Casa";"Outros";"Geografia"
f;t;f;t;"T";"M";"Editor de Texto";"Passeio escolar";"Outros";"Geografia"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Passeio escolar";"Outros";"Geografia"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Passeio escolar";"Outros";"Geografia"
f;t;f;t;"T";"M";"Editor de Texto";"Laboratório";"Outros";"Geografia"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Laboratório";"Outros";"Geografia"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Laboratório";"Outros";"Geografia"
f;t;f;t;"T";"M";"Editor de Texto";"Pátio da escola";"Outros";"História"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Pátio da escola";"Outros";"História"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Pátio da escola";"Outros";"História"
f;t;f;t;"T";"M";"Editor de Texto";"Casa";"Outros";"História"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Casa";"Outros";"História"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Casa";"Outros";"História"
f;t;f;t;"T";"M";"Editor de Texto";"Passeio escolar";"Outros";"História"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Passeio escolar";"Outros";"História"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Passeio escolar";"Outros";"História"
f;t;f;t;"T";"M";"Editor de Texto";"Laboratório";"Outros";"História"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Laboratório";"Outros";"História"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Laboratório";"Outros";"História"
f;t;f;t;"T";"M";"Editor de Texto";"Pátio da escola";"Outros";"Ciências"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Pátio da escola";"Outros";"Ciências"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Pátio da escola";"Outros";"Ciências"
f;t;f;t;"T";"M";"Editor de Texto";"Casa";"Outros";"Ciências"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Casa";"Outros";"Ciências"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Casa";"Outros";"Ciências"
f;t;f;t;"T";"M";"Editor de Texto";"Passeio escolar";"Outros";"Ciências"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Passeio escolar";"Outros";"Ciências"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Passeio escolar";"Outros";"Ciências"
f;t;f;t;"T";"M";"Editor de Texto";"Laboratório";"Outros";"Ciências"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Laboratório";"Outros";"Ciências"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Laboratório";"Outros";"Ciências"
f;t;f;t;"T";"M";"Editor de Texto";"Pátio da escola";"Outros";"Matemática"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Pátio da escola";"Outros";"Matemática"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Pátio da escola";"Outros";"Matemática"
f;t;f;t;"T";"M";"Editor de Texto";"Casa";"Outros";"Matemática"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Casa";"Outros";"Matemática"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Casa";"Outros";"Matemática"
f;t;f;t;"T";"M";"Editor de Texto";"Passeio escolar";"Outros";"Matemática"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Passeio escolar";"Outros";"Matemática"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Passeio escolar";"Outros";"Matemática"
f;t;f;t;"T";"M";"Editor de Texto";"Laboratório";"Outros";"Matemática"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Laboratório";"Outros";"Matemática"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Laboratório";"Outros";"Matemática"
f;t;f;t;"T";"M";"Editor de Texto";"Pátio da escola";"Outros";"Língua Portuguesa"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Pátio da escola";"Outros";"Língua Portuguesa"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Pátio da escola";"Outros";"Língua Portuguesa"
f;t;f;t;"T";"M";"Editor de Texto";"Casa";"Outros";"Língua Portuguesa"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Casa";"Outros";"Língua Portuguesa"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Casa";"Outros";"Língua Portuguesa"
f;t;f;t;"T";"M";"Editor de Texto";"Passeio escolar";"Outros";"Língua Portuguesa"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Passeio escolar";"Outros";"Língua Portuguesa"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Passeio escolar";"Outros";"Língua Portuguesa"
f;t;f;t;"T";"M";"Editor de Texto";"Laboratório";"Outros";"Língua Portuguesa"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Laboratório";"Outros";"Língua Portuguesa"
f;t;f;t;"T";"M";"Suíte de aplicativos para escritório";"Laboratório";"Outros";"Língua Portuguesa"
t;f;f;t;"T";"M";"Navegador Web";"Sala de Aula";"Exercício";"Educação Física"
t;f;f;t;"T";"M";"Navegador Web";"Sala de Aula";"Exercício";"Artes"
t;f;f;t;"T";"M";"Navegador Web";"Sala de Aula";"Exercício";"Matemática"
t;f;f;t;"T";"M";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"M";"Navegador Web";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Educação Física"
t;f;f;t;"T";"M";"Navegador Web";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Artes"
t;f;f;t;"T";"M";"Navegador Web";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Matemática"
t;f;f;t;"T";"M";"Navegador Web";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
t;f;f;t;"T";"P";"Navegador Web";"Sala de Aula";"Exercício";"Outras"
t;f;f;t;"T";"M";"Navegador Web";"Sala de Aula";"Entrevista";"Geografia"
t;f;f;f;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Outras"
t;f;f;f;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Outras"
f;f;t;f;"T";"N";"Software de Desenho";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
f;f;t;f;"T";"N";"Editor de Texto";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
f;f;t;f;"T";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
f;f;t;f;"T";"N";"Software Multiatividades";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
f;t;f;f;"N";"N";"Navegador Web";"Sala de Aula";"Outros";"Artes"
f;t;f;f;"N";"N";"Editor de Texto";"Sala de Aula";"Outros";"Artes"
f;t;f;f;"N";"N";"Navegador Web";"Sala de Aula";"Outros";"Artes"
f;t;f;f;"N";"N";"Navegador Web";"Sala de Aula";"Outros";"Língua Portuguesa"
f;t;f;f;"N";"N";"Editor de Texto";"Sala de Aula";"Outros";"Língua Portuguesa"
f;t;f;f;"N";"N";"Navegador Web";"Sala de Aula";"Outros";"Língua Portuguesa"
f;f;t;t;"T";"P";"Visualizador de Documentos PDF, Postscript e djvu";"Sala de Aula";"Pesquisa";"Outras"
f;f;t;t;"T";"P";"Navegador Web";"Sala de Aula";"Pesquisa";"Outras"
f;f;t;t;"T";"P";"Navegador Web";"Sala de Aula";"Pesquisa";"Outras"
f;f;t;t;"T";"P";"Navegador Web";"Sala de Aula";"Pesquisa";"Outras"
t;f;f;f;"N";"N";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Geografia"
t;f;f;f;"N";"N";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"História"
t;f;f;f;"T";"N";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Leitura";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Matemática"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Matemática"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Matemática"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Matemática"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Leitura";"Matemática"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Leitura";"Matemática"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Leitura";"Língua Portuguesa"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Leitura";"Língua Portuguesa"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Leitura";"Língua Portuguesa"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Leitura";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Leitura";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Leitura";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Leitura";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Leitura";"Língua Portuguesa"
t;f;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Leitura";"Língua Portuguesa"
t;f;t;f;"T";"N";"Navegador Web";"Sala de Aula";"Pesquisa";"Língua Portuguesa"
t;f;f;f;"A";"N";"Navegador Web";"Sala de Aula";"Pesquisa";"Matemática"
f;t;f;f;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
f;t;f;f;"T";"N";"Navegador Web";"Sala de Aula";"Outros";"Outras"
f;t;f;f;"T";"N";"Navegador Web";"Sala de Aula";"Outros";"Outras"
f;t;f;f;"T";"N";"Software de Desenho";"Sala de Aula";"Outros";"Outras"
t;f;f;f;"T";"N";"Navegador Web";"Sala de Aula";"Pesquisa";"Geografia"
t;f;f;f;"T";"N";"Navegador Web";"Sala de Aula";"Pesquisa";"Geografia"
f;t;f;f;"T";"M";"Navegador Web";"Sala de Aula";"Jogos";"Outras"
f;t;f;f;"T";"M";"Navegador Web";"Sala de Aula";"Jogos";"Outras"
f;t;f;f;"T";"M";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
f;t;f;f;"T";"M";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
f;t;f;f;"T";"M";"Navegador Web";"Sala de Aula";"Pesquisa";"Outras"
f;t;f;f;"T";"M";"Navegador Web";"Sala de Aula";"Pesquisa";"Outras"
f;t;f;f;"T";"M";"Navegador Web";"Sala de Aula";"Pesquisa";"Língua Portuguesa"
f;t;f;f;"T";"M";"Navegador Web";"Sala de Aula";"Pesquisa";"Língua Portuguesa"
t;f;f;f;"N";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Leitura";"Outras"
f;t;f;f;"N";"N";"Navegador Web";"Sala de Aula";"Jogos";"Outras"
f;t;f;f;"N";"N";"Navegador Web";"Sala de Aula";"Jogos";"Outras"
t;f;f;f;"N";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Matemática"
t;f;f;f;"N";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
f;t;f;t;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Outras"
f;f;t;f;"T";"P";"Suíte de aplicativos para escritório";"Sala de Aula";"Exercício";"Matemática"
t;f;f;f;"T";"N";"Navegador Web";"Biblioteca";"Pesquisa";"Língua Portuguesa"
f;t;f;f;"T";"N";"Navegador Web";"Sala de Aula";"Outros";"Outras"
t;f;f;t;"T";"N";"Software Multiatividades";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"N";"Software de Desenho";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"N";"Software de Desenho";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"M";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
t;f;f;t;"T";"M";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
t;f;f;t;"T";"M";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
t;f;f;t;"T";"M";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
t;f;f;t;"T";"M";"Suíte de aplicativos para escritório";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"M";"Suíte de aplicativos para escritório";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"M";"Suíte de aplicativos para escritório";"Sala de Aula";"Leitura";"Língua Portuguesa"
t;f;f;t;"T";"M";"Suíte de aplicativos para escritório";"Sala de Aula";"Leitura";"Língua Portuguesa"
t;f;f;f;"T";"P";"Suíte de aplicativos para escritório";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
t;f;f;f;"T";"P";"Suíte de aplicativos para escritório";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
t;f;f;t;"T";"M";"Suíte de aplicativos para escritório";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"M";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;f;f;t;"T";"M";"Suíte de aplicativos para escritório";"Sala de Aula";"Leitura";"Língua Portuguesa"
t;f;f;t;"T";"M";"Navegador Web";"Sala de Aula";"Leitura";"Língua Portuguesa"
t;f;f;f;"T";"N";"Software Multiatividades";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
t;f;f;f;"T";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
t;f;f;f;"T";"N";"Software de Desenho";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
t;f;f;f;"T";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
t;f;f;f;"T";"N";"Software Multiatividades";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
t;f;f;t;"T";"N";"Software de Desenho";"Sala de Aula";"Aula Passeio";"Matemática"
t;f;f;t;"T";"N";"Software de Desenho";"Sala de Aula";"Jogos";"Matemática"
t;f;f;t;"T";"N";"Software Multiatividades";"Sala de Aula";"Entrevista";"Educação Física"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Entrevista";"Educação Física"
t;f;f;t;"T";"N";"Software de Desenho";"Sala de Aula";"Entrevista";"Educação Física"
t;f;f;t;"T";"N";"Software Multiatividades";"Pátio da escola";"Entrevista";"Educação Física"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Entrevista";"Educação Física"
t;f;f;t;"T";"N";"Software de Desenho";"Pátio da escola";"Entrevista";"Educação Física"
t;f;f;t;"T";"N";"Software Multiatividades";"Casa";"Entrevista";"Educação Física"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Casa";"Entrevista";"Educação Física"
t;f;f;t;"T";"N";"Software de Desenho";"Casa";"Entrevista";"Educação Física"
t;f;f;t;"T";"N";"Software Multiatividades";"Laboratório";"Entrevista";"Educação Física"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Laboratório";"Entrevista";"Educação Física"
t;f;f;t;"T";"N";"Software de Desenho";"Laboratório";"Entrevista";"Educação Física"
t;f;f;t;"T";"N";"Software Multiatividades";"Sala de Aula";"Entrevista";"Artes"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Entrevista";"Artes"
t;f;f;t;"T";"N";"Software de Desenho";"Sala de Aula";"Entrevista";"Artes"
t;f;f;t;"T";"N";"Software Multiatividades";"Pátio da escola";"Entrevista";"Artes"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Entrevista";"Artes"
t;f;f;t;"T";"N";"Software de Desenho";"Pátio da escola";"Entrevista";"Artes"
t;f;f;t;"T";"N";"Software Multiatividades";"Casa";"Entrevista";"Artes"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Casa";"Entrevista";"Artes"
t;f;f;t;"T";"N";"Software de Desenho";"Casa";"Entrevista";"Artes"
t;f;f;t;"T";"N";"Software Multiatividades";"Laboratório";"Entrevista";"Artes"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Laboratório";"Entrevista";"Artes"
t;f;f;t;"T";"N";"Software de Desenho";"Laboratório";"Entrevista";"Artes"
t;f;f;t;"T";"N";"Software Multiatividades";"Sala de Aula";"Entrevista";"Inglês"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Entrevista";"Inglês"
t;f;f;t;"T";"N";"Software de Desenho";"Sala de Aula";"Entrevista";"Inglês"
t;f;f;t;"T";"N";"Software Multiatividades";"Pátio da escola";"Entrevista";"Inglês"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Entrevista";"Inglês"
t;f;f;t;"T";"N";"Software de Desenho";"Pátio da escola";"Entrevista";"Inglês"
t;f;f;t;"T";"N";"Software Multiatividades";"Casa";"Entrevista";"Inglês"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Casa";"Entrevista";"Inglês"
t;f;f;t;"T";"N";"Software de Desenho";"Casa";"Entrevista";"Inglês"
t;f;f;t;"T";"N";"Software Multiatividades";"Laboratório";"Entrevista";"Inglês"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Laboratório";"Entrevista";"Inglês"
t;f;f;t;"T";"N";"Software de Desenho";"Laboratório";"Entrevista";"Inglês"
t;f;f;t;"T";"N";"Software Multiatividades";"Sala de Aula";"Entrevista";"Geografia"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Entrevista";"Geografia"
t;f;f;t;"T";"N";"Software de Desenho";"Sala de Aula";"Entrevista";"Geografia"
t;f;f;t;"T";"N";"Software Multiatividades";"Pátio da escola";"Entrevista";"Geografia"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Entrevista";"Geografia"
t;f;f;t;"T";"N";"Software de Desenho";"Pátio da escola";"Entrevista";"Geografia"
t;f;f;t;"T";"N";"Software Multiatividades";"Casa";"Entrevista";"Geografia"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Casa";"Entrevista";"Geografia"
t;f;f;t;"T";"N";"Software de Desenho";"Casa";"Entrevista";"Geografia"
t;f;f;t;"T";"N";"Software Multiatividades";"Laboratório";"Entrevista";"Geografia"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Laboratório";"Entrevista";"Geografia"
t;f;f;t;"T";"N";"Software de Desenho";"Laboratório";"Entrevista";"Geografia"
t;f;f;t;"T";"N";"Software Multiatividades";"Sala de Aula";"Entrevista";"História"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Entrevista";"História"
t;f;f;t;"T";"N";"Software de Desenho";"Sala de Aula";"Entrevista";"História"
t;f;f;t;"T";"N";"Software Multiatividades";"Pátio da escola";"Entrevista";"História"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Entrevista";"História"
t;f;f;t;"T";"N";"Software de Desenho";"Pátio da escola";"Entrevista";"História"
t;f;f;t;"T";"N";"Software Multiatividades";"Casa";"Entrevista";"História"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Casa";"Entrevista";"História"
t;f;f;t;"T";"N";"Software de Desenho";"Casa";"Entrevista";"História"
t;f;f;t;"T";"N";"Software Multiatividades";"Laboratório";"Entrevista";"História"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Laboratório";"Entrevista";"História"
t;f;f;t;"T";"N";"Software de Desenho";"Laboratório";"Entrevista";"História"
t;f;f;t;"T";"N";"Software Multiatividades";"Sala de Aula";"Entrevista";"Ciências"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Entrevista";"Ciências"
t;f;f;t;"T";"N";"Software de Desenho";"Sala de Aula";"Entrevista";"Ciências"
t;f;f;t;"T";"N";"Software Multiatividades";"Pátio da escola";"Entrevista";"Ciências"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Entrevista";"Ciências"
t;f;f;t;"T";"N";"Software de Desenho";"Pátio da escola";"Entrevista";"Ciências"
t;f;f;t;"T";"N";"Software Multiatividades";"Casa";"Entrevista";"Ciências"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Casa";"Entrevista";"Ciências"
t;f;f;t;"T";"N";"Software de Desenho";"Casa";"Entrevista";"Ciências"
t;f;f;t;"T";"N";"Software Multiatividades";"Laboratório";"Entrevista";"Ciências"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Laboratório";"Entrevista";"Ciências"
t;f;f;t;"T";"N";"Software de Desenho";"Laboratório";"Entrevista";"Ciências"
t;f;f;t;"T";"N";"Software Multiatividades";"Sala de Aula";"Entrevista";"Matemática"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Entrevista";"Matemática"
t;f;f;t;"T";"N";"Software de Desenho";"Sala de Aula";"Entrevista";"Matemática"
t;f;f;t;"T";"N";"Software Multiatividades";"Pátio da escola";"Entrevista";"Matemática"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Entrevista";"Matemática"
t;f;f;t;"T";"N";"Software de Desenho";"Pátio da escola";"Entrevista";"Matemática"
t;f;f;t;"T";"N";"Software Multiatividades";"Casa";"Entrevista";"Matemática"
t;f;f;t;"T";"N";"Suíte de aplicativos para escritório";"Casa";"Entrevista";"Matemática"
t;f;f;t;"T";"N";"Software de Desenho";"Casa";"Entrevista";"Matemática"
