"atividadeescolar";"atividadelazer";"atividadeoutra";"atividadegrupo";"atividadesconcluidas";"dificuldadeutilizacao";"tiposoftware";"localutilizacao";"tipoatividade";"disciplina"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Exercício";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Exercício";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Exercício";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Exercício";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Exercício";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Exercício";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Exercício";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Exercício";"História"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Exercício";"História"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Exercício";"História"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Exercício";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Exercício";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Exercício";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Exercício";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Exercício";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Exercício";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Exercício";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Exercício";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Exercício";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Exposição";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Exposição";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Exposição";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Exposição";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Exposição";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Exposição";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Exposição";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Exposição";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Exposição";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Exposição";"História"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Exposição";"História"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Exposição";"História"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Exposição";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Exposição";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Exposição";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Exposição";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Exposição";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Exposição";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Exposição";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Exposição";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Exposição";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Jogos";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Jogos";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Jogos";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Jogos";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Jogos";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Jogos";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Jogos";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Jogos";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Jogos";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Jogos";"História"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Jogos";"História"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Jogos";"História"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Jogos";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Jogos";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Jogos";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Jogos";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Jogos";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Jogos";"Matemática"
